,country,code,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,population,population_growth,property_rights,integrity,tax_burden,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
163,Belgium,BE,2011,14.2,24.2,9.2,10.8,33460,103.5,10993616,0.008957,80,71,41.8,25,92.6,71,82.5,87.6,80,70,7.5,26.3
164,Bulgaria,BG,2011,6.7,8.4,3.6,13.3,5300,15.2,7348328,-0.006412,30,38,86.9,58.3,75.8,82,75.5,87.6,55,60,3.3,35
165,Croatia,HR,2011,11.6,14.4,4.2,16.6,10530,64.3,4282913,-0.003133,40,41,74.6,50.3,65.2,44.1,78.5,87.6,70,60,4,31.2
166,Cyprus,CY,2011,7.9,11.4,8.7,11.7,22900,65.9,850882,0.025518,80,66,74.6,45.6,80.1,71.4,87.6,82.6,75,70,6.3,29.2
167,Czechia,CZ,2011,14.7,17,5.1,11.6,15310,39.7,10496672,-0.001958,65,49,81,44.8,69.8,77,80,87.6,70,80,4.4,25.2
168,Denmark,DK,2011,0.1,22.8,7.6,14.7,44240,46.1,5566856,0.004147,90,93,43.2,19.5,99.7,92.1,81.4,87.6,90,90,9.4,26.6
169,Estonia,EE,2011,11.5,16.2,2.1,12.9,12010,6.1,1327439,-0.003036,80,66,80.7,52.2,80.9,55.8,78.7,87.6,90,80,6.4,31.9
170,Finland,FI,2011,12,21.4,6.6,13.8,35810,48.3,5388272,0.004638,90,89,65.3,26.5,95,41.4,80.7,87.6,85,80,9.4,25.8
171,France,FR,2011,16.3,22.5,10.1,10.8,31210,87.8,65087317,0.004838,80,69,52.3,16.4,85.6,51.4,83.7,82.6,55,70,7,30.8
172,Germany,DE,2011,15,20.8,6.1,10.8,33200,79.7,80274981,-0.018537,90,80,58.5,42.7,89.6,40.6,83.9,87.6,85,60,8,29
173,Greece,EL,2011,10.7,13.6,7.5,12.6,18130,175.2,11104900,-0.00148,50,38,65.9,34.3,76.2,55.2,80.6,82.6,60,60,3.4,33.5
174,Hungary,HU,2011,12.9,17.2,5.4,14.1,10180,80.4,9958824,-0.004128,65,51,69.7,27.4,76.5,67.7,75.9,87.6,75,70,4.6,26.9
175,Ireland,IE,2011,5.3,12.9,5.8,9.5,36840,111,4574888,0.004409,90,80,72.1,47.1,92,77.5,80.7,87.6,90,70,7.5,29.8
176,Italy,IT,2011,12.8,21.1,9.3,10.7,27020,119.7,59379446,0.00172,50,43,55.4,28.6,77.3,44.4,82.1,87.6,75,60,3.9,32.5
177,Latvia,LV,2011,8.7,13.8,3.3,11.3,9240,43.7,2059710,-0.018206,50,45,82.5,55.5,72.8,61.3,73.5,87.6,80,50,4.2,35.1
178,Lithuania,LT,2011,11.1,13.5,2.6,11.1,9820,37.1,3028119,-0.022587,60,49,86.1,58,81.7,55.6,74.5,87.6,80,80,4.8,33
179,Luxembourg,LU,2011,10.8,16.1,10.5,10.5,79310,19,518351,0.022234,90,82,66.7,58.5,76.4,44.1,82.1,87.6,95,80,8.5,27.2
180,Malta,MT,2011,5.9,11,8.3,13,16450,69.3,416263,0.004215,70,52,62.5,39.8,70,60,80.1,87.6,75,60,5.6,27.2
181,Netherlands,NL,2011,13.6,20,4.6,10.9,38880,61.7,16693074,0.004665,90,89,50.6,36.8,81.9,58.3,82.7,87.6,90,80,8.9,25.8
182,Poland,PL,2011,11.2,12,7.3,12.4,9850,54.7,38525670,0.000233,60,50,74,43.8,61.4,61.2,78.1,87.6,65,60,5.5,31.1
183,Portugal,PT,2011,8.9,13.3,7,11.9,16720,114.4,10557560,-0.001471,70,58,61.1,36.2,80.1,34.7,82.3,87.6,70,60,6.1,34.2
184,Romania,RO,2011,9.1,11.2,4.6,12.5,6350,34,20147657,-0.004909,40,38,86.8,57.6,72,60.8,74.4,87.6,80,50,3.6,33.5
185,Slovakia,SK,2011,12,14.7,3.6,10.8,12990,43.4,5398384,-0.006028,50,45,84.2,63.7,73.4,64.5,81.6,87.6,75,70,4,25.7
186,Slovenia,SI,2011,15.6,19.4,4.5,13.6,17870,46.5,2052496,0.001577,60,66,65.1,41.1,83.6,41.8,80.5,87.6,70,50,5.9,23.8
187,Spain,ES,2011,11.8,16.8,6.5,8,22770,69.9,46736257,0.003725,70,61,61,49.3,77.2,53,82.4,87.6,80,80,6.2,34
188,Sweden,SE,2011,2.7,24.1,5.7,12.3,40920,37.2,9449216,0.007551,90,92,37.6,17.3,95,54,80.1,87.6,85,80,9.3,26
189,Austria,AT,2012,14.1,23.6,6.6,11.7,36390,81.9,8426311,0.004493,90,79,50.5,15.4,70.3,78.1,82.2,87.2,80,70,69,27.6
190,Belgium,BE,2012,14.4,24.2,10.1,10.9,33490,104.8,11067748,0.006721,80,71,44.8,12.1,92.3,71.3,81.2,87.1,80,70,75,26.5
191,Bulgaria,BG,2012,6.8,8.6,3.9,14.2,5350,16.7,7305888,-0.005792,30,36,93.6,50.3,72.7,84.2,77.8,87.1,55,60,41,33.6
192,Croatia,HR,2012,11.5,14.5,3.9,17.6,10310,70.1,4269063,-0.003239,40,41,76.4,45,63.4,44.4,81.4,87.5,70,60,46,30.9
193,Cyprus,CY,2012,7.8,11.5,8.2,12,21780,80.3,863945,0.015236,70,63,83.3,37.1,81.6,69.9,85.7,82.1,75,70,66,31
194,Czechia,CZ,2012,14.8,17.1,5.1,12,15170,44.2,10509286,0.001201,70,46,82,36.8,67.7,77.9,81.5,87.1,70,,49,24.9
195,Denmark,DK,2012,0.1,22.9,8.2,14.7,44170,44.9,5587085,0.003627,90,93,39.8,0,99.1,92.1,80.7,87.1,90,90,90,26.5
196,Estonia,EE,2012,11.1,16,2.3,13.2,12430,9.8,1322696,-0.003579,80,65,79.1,38.8,75.7,56.9,79.3,87.1,90,80,64,32.5
197,Finland,FI,2012,12.6,22.2,6.1,14,35140,53.6,5413967,0.004757,90,92,65.4,5.2,94.9,42.4,81.3,87.1,85,80,90,25.9
198,France,FR,2012,16.5,23.1,10.5,10.9,31160,90.6,65402998,0.004838,80,68,53.8,5.3,83.7,51.6,82.3,82.1,55,70,71,30.5
199,Germany,DE,2012,15.2,21.4,6.3,10.7,33280,81.1,80425826,0.001877,90,79,61.3,32.2,90.5,41.4,83.5,87.1,85,60,79,28.3
200,Greece,EL,2012,10.9,15.7,7.4,12.7,16940,161.9,11045010,-0.005408,50,35,65.3,16.2,76.3,36.6,72.6,82.1,60,60,36,34.3
201,Hungary,HU,2012,13.7,18.5,5.5,15.2,10090,78.4,9920364,-0.003869,70,47,78.6,24.4,79.8,67.6,76.1,87.1,70,70,55,27.2
202,Ireland,IE,2012,4.9,12.9,6,9.5,36740,119.9,4593697,0.004103,90,80,73.9,30.4,92.8,78.4,76.7,87.1,90,70,69,30.4
203,Italy,IT,2012,13,21.6,10.5,11.1,26090,126.5,59539725,0.002696,50,39,55,19.4,77.4,43,82,87.1,75,60,42,32.4
204,Latvia,LV,2012,8.7,13.9,3.6,11.6,9750,42.2,2034324,-0.012402,50,43,84.3,43.8,75.9,59.1,79.1,87.1,80,50,49,35.7
205,Lithuania,LT,2012,10.8,13.3,3.1,10.6,10330,39.7,2987773,-0.013413,60,50,93.6,41.7,79.2,64.6,79.3,87.1,80,80,54,32
206,Luxembourg,LU,2012,11.2,16.8,10.7,11,77240,22,530952,0.024019,90,85,63.6,46.6,75.9,40.9,81.3,87.1,95,80,80,28
207,Malta,MT,2012,5.8,11.1,8.7,12.6,16970,65.9,420027,0.009002,70,56,67.8,43.8,70,60,80.5,87.1,75,60,57,27.1
208,Netherlands,NL,2012,14.5,20.4,4.5,10.7,38340,66.3,16754963,0.003701,90,88,51.2,20.9,81.9,60,83.6,87.1,90,80,84,25.4
209,Poland,PL,2012,12.1,12.6,7.8,11.6,9980,54.4,38533789,0.000211,60,53,74.4,40.3,61.4,61.3,79.1,87.1,65,60,58,30.9
210,Portugal,PT,2012,8.7,12.7,7,12,16110,129,10514844,-0.004054,70,60,59,25.5,83,32.5,82.6,87.1,70,60,63,34.5
211,Romania,RO,2012,8.7,11.1,4.1,12.6,6500,37.1,20060182,-0.004351,40,37,87.4,55.1,70.5,62.2,74.3,87.1,80,50,44,34
212,Slovakia,SK,2012,12.2,15,3.8,9.9,13220,51.8,5407579,0.001702,50,43,84.2,48.2,71,58.1,83.5,87.1,75,70,46,25.3
213,Slovenia,SI,2012,15.9,19.6,4.4,14,17360,53.6,2056262,0.001833,60,64,64.8,27.9,81.4,42.2,81.2,87.1,70,50,61,23.7
214,Spain,ES,2012,11.7,16.8,7.4,8.2,22080,86.3,46766403,0.000645,70,61,61.3,37.1,81.3,51.8,81.5,87.1,80,80,65,34.2
215,Sweden,SE,2012,2.8,24.9,5.2,12.2,40380,37.5,9519378,0.007398,90,92,39.1,8.8,94.6,54.6,80.9,87.1,90,80,88,26
216,Austria,AT,2013,14.5,24.2,6.9,11.6,36180,81.3,8477230,0.006025,90,78,51.1,23.5,73.6,80.4,79.3,86.8,85,70,69,27
217,Belgium,BE,2013,14.5,24.4,10.6,10.9,33490,105.5,11125033,0.005163,80,75,45,14.5,91.6,69.8,79.3,86.8,80,70,75,25.9
218,Bulgaria,BG,2013,7.5,9.3,4.4,14.8,5400,17.1,7265115,-0.005596,30,33,94,64.2,73.6,74.8,78.6,86.8,55,60,41,35.4
219,Croatia,HR,2013,11.2,14.3,4.1,18,10300,81.2,4254469,-0.003424,40,40,75.4,48.7,63,42.4,81.1,87.5,75,60,48,30.9
220,Cyprus,CY,2013,7.6,10.8,9.2,11.9,20400,104,861938,-0.002326,70,63,79.8,32.7,80.7,62.8,84.1,81.8,75,60,63,32.4
221,Czechia,CZ,2013,14.8,17.3,5.2,12.3,15160,44.4,10510719,0.000136,70,44,82,43.5,65.8,85.5,81.7,86.8,70,80,48,24.6
222,Denmark,DK,2013,0.1,24.4,7.5,14.4,44410,44,5608784,0.003876,90,94,39.8,5.9,98.4,91.1,80,86.8,85,90,91,26.8
223,Estonia,EE,2013,10.9,16.1,2.6,12.8,12640,10.2,1317997,-0.003559,85,64,79.7,56.2,78.2,56,77.1,86.8,90,80,68,32.9
224,Finland,FI,2013,12.5,22.3,6.8,14.3,34660,56.2,5438975,0.004609,90,94,66.9,12.2,94.8,45.3,79.5,86.8,90,80,89,25.4
225,France,FR,2013,16.8,23.7,10.8,11,31170,93.4,65735961,0.005078,80,70,53,5.6,84,50.5,81.1,81.8,65,70,71,30.1
226,Germany,DE,2013,15.2,21.6,6.3,10.6,33330,78.7,80645605,0.002729,90,80,61.8,37.3,92.1,43.8,81.2,86.8,85,70,78,29.7
227,Greece,EL,2013,10.7,14.6,7.9,13.2,16600,178.4,10965209,-0.007251,40,34,66.2,24.7,77.1,42.1,73.4,81.8,65,50,40,34.4
228,Hungary,HU,2013,13.3,18,4.8,15.9,10310,77.4,9893083,-0.002754,65,46,79.7,29.7,79.1,64.4,77.1,86.8,75,70,54,28.3
229,Ireland,IE,2013,5,12.9,6.1,9.8,37010,119.9,4614669,0.004555,90,75,73.8,28.8,83.4,76.6,82.8,86.8,90,70,72,30.7
230,Italy,IT,2013,13,21.6,10.7,10.8,25480,132.5,60233944,0.011592,50,39,55.5,25.3,76.9,52,80.2,86.8,80,60,43,32.8
231,Latvia,LV,2013,8.5,13.8,3.6,11.9,10080,40,2012647,-0.010713,50,42,84.4,53.6,75.7,64.4,78.3,86.8,80,50,53,35.2
232,Lithuania,LT,2013,10.8,13.4,3,10.6,10810,38.7,2957689,-0.01012,60,48,92.8,53.6,77.6,64.1,78.3,86.8,80,80,57,34.6
233,Luxembourg,LU,2013,11,17.1,10.3,10.9,78030,23.7,543358,0.023097,90,85,65,47.1,74.8,39,79.3,86.8,95,80,80,30.4
234,Malta,MT,2013,5.7,11.3,9,12.4,17650,65.8,425966,0.014041,75,56,61.2,44.1,61.1,65.4,80.4,86.8,85,60,56,28
235,Netherlands,NL,2013,14.7,20.4,4.7,10.9,38180,67.7,16804430,0.002948,90,89,52.1,24.7,83,58.6,81.1,86.8,90,80,83,25.1
236,Poland,PL,2013,12.3,13,7.5,11.4,10100,56.5,38502396,-0.000815,60,55,76,43,64,62.9,77.7,86.8,65,70,60,30.7
237,Portugal,PT,2013,8.9,14.7,7.6,11.7,16050,131.4,10457295,-0.005488,70,61,61.6,28.3,82.8,31,79.4,86.8,70,60,62,34.2
238,Romania,RO,2013,8.6,11,4.2,12.2,6770,37.6,19988694,-0.00357,40,36,87.9,62.2,70.4,63.5,74.7,86.8,80,50,43,34.6
239,Slovakia,SK,2013,13.3,16,4.4,10.5,13290,54.7,5413393,0.001075,50,40,84.7,58,71,72.2,79.1,86.8,75,70,47,24.2
240,Slovenia,SI,2013,15.5,18.8,4.2,14.5,17160,70,2059114,0.001386,60,59,65.7,22.3,80.7,40.4,81.6,86.8,70,50,57,24.4
241,Spain,ES,2013,11.5,16.6,7.5,9,21840,95.8,46593236,-0.00371,70,62,53.9,43,80.3,54.3,79.9,86.8,80,70,59,33.7
242,Sweden,SE,2013,2.8,25.1,5.4,12.1,40510,40.2,9600375,0.008473,90,93,39.6,21,93.2,53.6,82.1,86.8,90,80,89,26
243,Austria,AT,2014,14.5,24.4,6.9,11.6,36130,84,8543932,0.007838,90,75.5,51,23.5,76.3,80.5,79.5,87.8,90,70,72,27.6
244,Belgium,BE,2014,14.3,24.2,10.6,10.8,33870,107,11179778,0.004909,80,74.2,44.8,14.8,89.9,72.7,79.5,87.8,85,70,76,25.9
245,Bulgaria,BG,2014,7.8,9.9,4.4,14.1,5530,27.1,7223938,-0.005684,30,35.2,91.2,64.5,73.5,80.2,79.6,87.8,55,60,43,35.4
246,Croatia,HR,2014,11.8,14.9,3.8,18,10310,84.8,4238389,-0.003787,40,41.1,69.4,45.8,61.4,39.4,79.2,87.4,80,60,48,30.2
247,Cyprus,CY,2014,8.3,11.4,9.2,13.1,20250,109.1,852511,-0.010997,70,64,79.7,36.2,79.7,70.2,78.8,82.8,65,50,63,34.8
248,Czechia,CZ,2014,14.5,17.2,5.2,11.5,15480,41.9,10524783,0.001337,70,45.3,81.7,43.8,70.1,84,79.4,87.8,80,80,51,25.1
249,Denmark,DK,2014,0.1,25.5,9.3,14.1,44890,44.3,5639719,0.0055,90,93.7,39.3,0.5,98.1,91.2,80,87.8,90,90,92,27.7
250,Estonia,EE,2014,10.8,16.2,2.5,13.2,13060,10.6,1314545,-0.002623,90,64.2,80.4,56,77.6,55.9,76.9,87.8,90,80,69,35.6
251,Finland,FI,2014,12.6,22.6,6.7,14.2,34390,59.8,5461507,0.004134,90,93.4,65.1,8.9,93.6,46.5,78.9,87.8,90,80,89,25.6
252,France,FR,2014,17,23.9,10.7,11.1,31320,94.9,66276671,0.008192,80,69.9,48.4,5.6,79.9,51.8,76.1,82.8,70,70,69,29.2
253,Germany,DE,2014,15.1,21.6,6.2,10.5,33920,75.6,80982495,0.004169,90,80.1,61.2,38.2,89.9,46.4,80.8,87.8,90,70,79,30.7
254,Greece,EL,2014,10.4,14.5,8.2,13.4,16820,180.2,10892415,-0.006661,40,33.2,65.9,19.2,75.8,53.9,76.3,82.8,60,50,43,34.5
255,Hungary,HU,2014,13.2,17.8,5,15.9,10770,76.7,9866466,-0.002694,60,48.6,81.1,26.8,79.3,65.7,75.6,87.8,75,70,54,28.6
256,Ireland,IE,2014,4.9,12.8,6.3,9.9,39920,104.2,4645440,0.006646,90,74.8,74,30.6,83.4,79.5,81.7,87.8,90,70,74,31.1
257,Italy,IT,2014,12.9,21.3,10.5,11.1,25420,135.4,60789144,0.009175,50,38.5,55.5,25.6,75.5,52.5,78.9,87.8,85,60,43,32.4
258,Latvia,LV,2014,8.4,13.8,3.6,12.3,10290,41.6,1993785,-0.009416,50,43.6,84.6,54.9,82.5,68.5,79.7,87.8,85,50,55,35.5
259,Lithuania,LT,2014,11.1,13.7,3,10.8,11290,40.5,2932366,-0.008599,60,49.9,92.9,55.9,85.7,59,78.6,87.8,80,80,58,35
260,Luxembourg,LU,2014,10.6,16.6,10,11,79490,22.7,556322,0.023579,90,84.1,62.8,47.6,72.6,43.1,78.9,87.8,95,80,82,28.7
261,Malta,MT,2014,5.5,11,9,12.4,18610,61.6,434551,0.019954,75,55.8,63.7,47.2,62.4,53.2,79.1,87.8,80,60,55,27.7
262,Netherlands,NL,2014,14.6,20,6,11,38580,67.9,16865008,0.003598,90,88,51.7,25.6,89.7,59.6,79.9,87.8,90,80,83,26.2
263,Poland,PL,2014,12.2,13.1,7.4,11.5,10440,51.1,38483957,-0.000479,60,54.8,76.1,43.2,70.1,60.4,77.8,87.8,70,70,61,30.8
264,Portugal,PT,2014,9,14.9,7.2,12.2,16260,132.9,10401062,-0.005392,70,61.1,60.1,26.8,84.9,34.6,79.3,87.8,70,60,63,34.5
265,Romania,RO,2014,8.5,10.8,4.8,12,7040,39.2,19916451,-0.003621,40,37.7,87,59.2,71,65.2,77.1,87.8,80,50,43,35
266,Slovakia,SK,2014,13.4,16.2,4.8,10.8,13630,53.6,5418649,0.00097,50,41.8,80.2,56,67,53.6,78.1,87.8,80,70,50,26.1
267,Slovenia,SI,2014,15.3,18.5,4.5,14.4,17620,80.3,2061623,0.001218,60,61,58.9,22.6,85.4,51,80.3,87.8,70,50,58,25
268,Spain,ES,2014,11.6,16.9,7.7,9.3,22210,100.7,46455123,-0.002969,70,62.6,54,38.7,77.3,52.2,79.9,87.8,80,70,60,34.7
269,Sweden,SE,2014,2.8,24.7,5.6,12,41180,45,9696105,0.009922,90,92.3,42.9,21.4,91.1,52.9,82.5,87.8,90,80,87,26.9
270,Austria,AT,2015,14.5,24.4,7.2,11.5,36140,84.9,8629519,0.009967,90,69,50.1,19.8,78,76.7,80.3,88,90,70,76,27.2
271,Belgium,BE,2015,14.2,23.7,10.5,10.6,34360,105.2,11238474,0.005236,80,75,43.6,10.2,90.7,63.7,81.7,88,85,70,77,26.2
272,Bulgaria,BG,2015,7.8,9.8,4.7,14.6,5790,26,7177991,-0.006381,30,41,91,64.5,68.5,76.6,83.2,88,65,60,41,37
273,Croatia,HR,2015,12,14.7,4.1,18.5,10630,84.3,4203604,-0.008241,40,48,74.9,46.5,55.8,42.8,80,87.2,80,60,51,30.4
274,Cyprus,CY,2015,8.3,11.6,8.8,12.8,21020,107.2,847662,-0.005704,70,63,79.5,36.7,79.5,59.6,82.7,88,70,50,61,33.6
275,Czechia,CZ,2015,14.4,16.9,5.3,11.8,16290,39.7,10542942,0.001724,75,48,81.5,40.6,68.2,82.9,81.2,88,80,80,56,25
276,Denmark,DK,2015,0.1,23.7,8.6,14.1,45630,39.8,5678348,0.006826,95,91,39.6,1.8,97.4,92.1,87.6,88,90,80,91,27.4
277,Estonia,EE,2015,11.1,16.5,2.9,13.7,13330,10,1314608,4.80E-05,90,68,80.6,53.2,81.5,58.7,77.6,88,90,80,70,34.8
278,Finland,FI,2015,12.6,22.4,7,14,34460,63.6,5479528,0.003294,90,89,66.4,3.6,92.6,54.8,79.9,88,90,80,90,25.2
279,France,FR,2015,16.8,23.7,10.7,11.2,31540,95.6,66512558,0.003553,80,71,47.5,2.5,80.2,43.5,77.5,83,70,70,70,29.2
280,Germany,DE,2015,15.2,21.7,6.5,10.4,34130,72.3,81686608,0.008657,90,78,60.8,40.1,88.2,51.2,81.5,88,90,70,81,30.1
281,Greece,EL,2015,10.6,14.6,8.4,13.4,16870,177,10820883,-0.006589,40,40,64.2,0,73.3,51.6,77.8,83,60,50,46,34.2
282,Hungary,HU,2015,13.2,17.8,5.1,16.1,11210,75.8,9843025,-0.002379,55,54,78.7,25.9,74.5,67.7,79.2,88,75,70,51,28.2
283,Ireland,IE,2015,3.9,9.9,5.8,7.7,49510,76.7,4687787,0.009075,85,72,73.6,45.6,82.1,76.2,83.9,88,90,70,75,29.7
284,Italy,IT,2015,12.9,21.1,10.6,11.1,25640,135.3,60730585,-0.000964,55,43,54.2,23.2,71.9,55.4,81.2,88,85,60,44,32.4
285,Latvia,LV,2015,8.3,13.7,3.5,12.7,10790,37.1,1977523,-0.00819,50,53,84.4,59.2,82.1,61.5,83.8,88,85,50,56,35.4
286,Lithuania,LT,2015,11.6,14.4,3.2,11.3,11620,42.5,2904908,-0.009408,60,57,92.9,61.3,84.9,62,81.2,88,80,80,59,37.9
287,Luxembourg,LU,2015,10.7,16.9,10.7,9.5,81300,22,569605,0.023596,90,80,62.3,42.2,71.3,42.1,80.7,88,95,80,85,28.5
288,Malta,MT,2015,5.2,10.2,8.8,11.6,19920,55.9,445053,0.02388,75,56,63.1,44.4,61,55.6,81.8,88,80,60,60,28.1
289,Netherlands,NL,2015,13.9,20,5.9,11.1,39170,64.7,16939925,0.004432,90,83,51.8,23.8,84.3,66.3,79.8,88,90,80,84,26.7
290,Poland,PL,2015,12.5,13.2,7.8,11.4,10890,51.3,38454576,-0.000764,60,60,82.1,47.1,67.3,60.4,81.3,88,70,70,63,30.6
291,Portugal,PT,2015,9,14.8,7.2,12.4,16620,131.2,10358076,-0.004141,70,62,61.1,28.8,87.5,42.9,82.8,88,70,60,64,34
292,Romania,RO,2015,8.1,10.3,5.1,12.7,7290,37.8,19822250,-0.004741,40,43,86.9,62.3,69.8,68.6,77.3,88,80,50,46,37.4
293,Slovakia,SK,2015,13.7,16.6,5,10.9,14270,51.9,5423801,0.00095,50,47,80.8,55.1,69.6,56.5,75.5,88,80,70,51,23.7
294,Slovenia,SI,2015,15.4,18.6,4.6,14.4,17990,82.6,2063077,0.000705,60,57,58.1,0,81.2,57.1,81.3,88,70,50,60,24.5
295,Spain,ES,2015,11.4,16.3,8,9.6,23080,99.3,46410149,-0.000969,70,59,53.1,39.8,77.5,52.6,81.3,88,85,70,58,34.6
296,Sweden,SE,2015,2.7,24.5,6.2,12,42580,43.7,9799183,0.010575,90,89,43,19.2,87.9,54,85.5,88,90,80,89,26.7
297,Austria,AT,2016,14.5,23.3,7,11.5,36390,82.8,8739806,0.012699,90,72,50.7,22.4,79.4,72.5,81.7,88,90,70,76,27.2
298,Belgium,BE,2016,13.6,22.7,10.4,10.9,34620,105,11295003,0.005017,80,76,44.2,11,85.4,60.5,84,88,85,70,77,26.3
299,Bulgaria,BG,2016,7.7,9.9,4.5,14.7,6050,29.3,7127822,-0.007014,30,43,91.1,60.4,66.9,71.6,82.6,88,65,60,41,37.7
300,Croatia,HR,2016,11.9,14.3,4.8,18.7,11100,80.8,4174349,-0.006984,35,48,70.8,33.7,60.3,42.4,78.7,87.4,75,60,49,29.8
301,Cyprus,CY,2016,8.2,11.3,8.2,12.9,22270,103.1,851559,0.004587,70,63,76.1,47.3,74.5,58.2,85.3,88,75,50,55,32.1
302,Czechia,CZ,2016,14.7,17.4,5.5,11.9,16670,36.6,10565284,0.002117,75,51,82.5,47.3,66.6,77.7,84.1,88,80,80,55,25.1
303,Denmark,DK,2016,0.1,23.2,8.6,14.2,46720,37.2,5724456,0.008087,95,92,39.5,2.3,95.4,86,84.4,88,90,80,90,27.7
304,Estonia,EE,2016,11.3,16.8,2.5,14.3,13730,9.9,1315790,0.000899,90,69,81.9,54.9,79,57.2,82.2,88,90,80,70,32.7
305,Finland,FI,2016,12.7,22.5,7,14.3,35330,63.2,5495297,0.002874,90,89,66.5,0.8,90.7,53.7,81.9,88,85,80,89,25.4
306,France,FR,2016,16.8,23.7,10.6,11.3,31770,98,66685530,0.002597,80,69,47.7,2.5,78.4,43.5,79.1,83,70,70,69,29.3
307,Germany,DE,2016,15.4,22,6.9,10.3,34610,69.3,82348669,0.008072,90,79,61.5,41.3,90,50.6,83.3,88,90,70,81,29.5
308,Greece,EL,2016,10.9,15.1,8.7,14.5,16850,180.8,10775971,-0.004159,40,43,64.4,0,73.8,50.2,77.7,83,60,40,44,34.3
309,Hungary,HU,2016,13.8,18.3,5.4,15.8,11480,74.9,9814026,-0.00295,45,54,78.7,26.7,70.6,63.8,88.3,88,75,70,48,28.2
310,Ireland,IE,2016,3.9,10.1,5.6,7.9,49930,74.1,4739597,0.010991,90,74,73.6,50.3,79.6,72.1,85.5,88,90,70,73,29.6
311,Italy,IT,2016,12.7,20.6,10.3,11.2,26020,134.8,60627494,-0.001699,50,43,55.8,22.1,70.3,53,84.5,88,85,60,47,33.1
312,Latvia,LV,2016,8.2,14,3.8,13.3,11150,40.4,1959535,-0.009138,50,55,84.8,58.4,78.6,59.5,84.8,88,85,60,57,34.5
313,Lithuania,LT,2016,12.1,15,3.3,11.3,12070,39.7,2868234,-0.012705,65,58,92.9,63.8,80,60,84.6,88,80,80,59,37
314,Luxembourg,LU,2016,10.5,16.6,11.1,9.1,82880,20.1,583459,0.024031,90,82,61.1,43,73.7,42.6,83.2,88,95,80,81,29.6
315,Malta,MT,2016,5.2,10.7,9.1,11.4,20230,54.5,455355,0.022884,70,55,63.9,46.5,61.6,53.5,83.5,88,85,60,55,28.6
316,Netherlands,NL,2016,14.7,20.2,6.8,11.4,39810,61.9,17030314,0.005322,90,83,52.7,34.4,80,64,83.4,88,90,80,83,26.9
317,Poland,PL,2016,12.8,13.5,8.1,11.8,11240,54.2,38426809,-0.000722,65,61,75.5,46.5,68.7,58,85.2,88,75,70,62,29.8
318,Portugal,PT,2016,9.1,14.5,7,12.5,17010,131.5,10325452,-0.003155,70,63,60.5,24.8,85.3,43.5,85.7,88,70,60,62,33.9
319,Romania,RO,2016,8,10,5.1,10.8,7670,37.4,19706529,-0.005855,35,43,87.5,65.6,66.1,65.1,81.1,88,75,50,48,34.7
320,Slovakia,SK,2016,14.2,17.3,4.8,11,14550,52.4,5430798,0.001289,50,50,80.1,49.5,68.4,55,79.5,88,75,70,51,24.3
321,Slovenia,SI,2016,15.4,18.8,4.7,14.2,18550,78.5,2064241,0.000564,60,58,58.6,0,82,55.4,84.3,88,70,50,61,24.4
322,Spain,ES,2016,11.4,16.2,7.9,9.5,23760,99.2,46449874,0.000856,70,60,58.3,41.1,76,51.7,84.7,88,85,70,58,34.5
323,Sweden,SE,2016,2.7,25.6,6.3,12.3,42920,42.3,9923085,0.012565,90,87,44.4,14.9,89.7,53.5,87.1,88,85,80,88,27.6
324,Austria,AT,2017,14.6,23.2,7.1,11.5,37030,78.5,8795073,0.006304,86,75.2,50.3,19.3,76.9,67.6,83.4,87,90,70,75,27.9
325,Belgium,BE,2017,13.5,22.6,11,10.9,35040,102,11349081,0.004776,83.3,71.5,44.1,9.6,82,61.1,84.9,87,85,70,75,26.1
326,Bulgaria,BG,2017,8.3,10.4,4.7,14.3,6310,25.3,7075947,-0.007304,62.5,41.8,91,58.4,66.7,68.3,83.3,87,70,60,43,40.2
327,Croatia,HR,2017,11.9,14,4.8,19,11600,77.5,4124531,-0.012006,65.5,43.4,66.8,31.3,58.2,43.3,80.3,87.4,75,60,49,29.9
328,Cyprus,CY,2017,8.5,11.6,8.4,13.3,23200,93.5,859520,0.009305,75.4,53.6,73,48.8,75.8,58.6,83.3,87,75,50,57,30.8
329,Czechia,CZ,2017,15,17.9,5.4,12.1,17490,34.2,10589526,0.002292,70.3,55.9,82.9,45.3,67.2,77.7,85.8,87,80,80,57,24.5
330,Denmark,DK,2017,0,23.1,8.8,14,47740,35.9,5760694,0.00631,86.7,84.9,37.2,5.7,93.9,85.8,85.5,87,90,80,88,27.6
331,Estonia,EE,2017,11.2,16.5,2.3,13.7,14480,9.1,1317384,0.001211,82.6,69.9,81.2,55.8,77,56.9,85.7,87,90,80,71,31.6
332,Finland,FI,2017,12,21.4,7.5,14.1,36400,61.3,5508209,0.002347,90.6,90,66.6,0,90.2,53.4,85.1,87,85,80,85,25.3
333,France,FR,2017,16.8,23.8,11,11.5,32380,98.3,66829563,0.002158,85,69.7,47.6,2,78,44.1,81.6,82,70,70,70,28.8
