,country,year,contributions,personal,corporate,consumption,rgdp_pc,debt_to_gdp,property_rights,spending,business_freedom,labor_freedom,monetary_freedom,trade_freedom,investment_freedom,financial_freedom,corruption,gini
278,Finland,2015,0.4790449224754443,1.1495602279738497,0.13748522768081703,0.901092297787809,0.5864233626634665,0.07468092319263336,1.073203293252585,-1.897220086005566,1.4784760695938781,-0.40208723739842844,-0.35056091643205906,0.7423772165968918,1.1444071456181633,0.9402304108296897,1.7308595527284898,-1.1642293047823695
82,Belgium,2008,0.8099951280696196,1.406120785833554,1.2227321898090007,-0.710240129283915,0.5361198129619185,0.899287082567495,0.5269099989231899,-1.098801980358727,1.587004836936781,0.8771615998123207,-0.22877572930306275,0.13754363638819786,1.1444071456181633,0.9402304108296897,-0.9670938915515447,-0.5766584116768935
371,Poland,2018,0.6572488793338463,-0.6036035840674595,0.7218489765190701,0.21749672266647188,-0.7656379000464342,-0.33762215649479754,-0.46734379675630944,0.5706176950846641,-1.0275518308694982,0.29083921609072755,0.8916479922837022,0.40971874748211184,-0.10040456604349117,0.10698497375725381,0.7521581823729755,-0.5000187299674834
171,France,2011,1.4209801230127133,1.1709402744621586,1.4314335286798054,-0.6614118739181045,0.38704953762684324,0.7488521751139728,0.5269099989231899,-1.182552131300703,0.7878384592299553,-0.6609828354053656,0.5750065057483124,-0.8906734499665836,-1.760153514925697,0.10698497375725381,-0.9768809052550999,0.26637808712661537
27,Austria,2006,0.7845374199469908,1.1709402744621586,0.012264424358333971,-0.368442341723246,0.6011463528200172,0.038465112139007565,1.073203293252585,-0.8028847803637446,0.43265340247136697,0.9609219403439775,1.2326465162448932,-0.9511568079874495,-0.5153418032640427,0.10698497375725381,-0.9246834988361391,-1.1386827442125658
89,Finland,2008,0.19901013312652702,0.914379716602455,0.3044462987774609,0.1198402119348518,0.7624857866188847,-0.7889268788553636,1.073203293252585,-0.4734675199919716,1.7349986105861932,-1.0417116560038029,1.7441443021866765,0.13754363638819786,-0.5153418032640427,0.9402304108296897,-0.9116341472313989,-0.8832171385145329
315,Malta,2016,-1.4048254785990943,-1.3519052111582623,1.0140308509381961,-0.36844234172324686,-0.2865272620353487,-0.17882975418274644,-0.019383295406205224,0.4980342309349515,-1.5800619191606367,-0.5010767307540219,0.5262924308967132,0.7423772165968918,0.7294699083976117,-0.7262604633151821,0.5890412873137231,-0.29564624540905693
73,Netherlands,2007,0.45358721435281507,0.23021822897657832,-0.1546966467383095,-0.5149271078206765,0.8722947548698248,-0.4351262631776359,1.073203293252585,-0.1496336030163307,1.0640935033755254,0.19946429914710292,1.4275028156512868,0.3189937104508043,1.1444071456181633,0.9402304108296897,-0.9116341472313989,-0.5511118511070898
228,Hungary,2013,0.6572488793338463,0.20883818248826935,-0.7808006633507233,1.8288291497381932,-0.8950775218394419,0.4591256866849676,-0.2925299425709028,-0.43996745961518124,0.14653210674916978,0.3289120981505718,-1.0325579643544414,0.37947706847167456,-0.10040456604349117,0.10698497375725381,0.5564179083018725,-0.372285927118467
345,Portugal,2017,-0.3865171536939386,-0.5608434910908416,0.13748522768081703,0.2663249780322806,-0.4447994062182681,1.8158256853861752,0.16089349172249504,-0.6968012558372413,0.8667684718429761,-1.2701489483628654,1.1108613291158969,0.43996042649254485,-0.5153418032640427,-0.7262604633151821,0.8500283194085269,0.9561352225113041
127,Netherlands,2009,0.47904492247544384,0.5295388798128999,-0.8642811988990452,-0.5149271078206757,0.8134027942436223,-0.11475562693402415,1.073203293252585,-0.0770501388666178,0.876634723419603,0.24515175761891497,1.3787887407996875,0.07706027836732761,1.1444071456181633,1.7734758479021255,-0.914896485132584,-0.6532980933863036
122,Italy,2009,0.6317911712112171,0.9357597630907631,1.3896932609056445,-1.0032096614787744,0.10363197711324336,1.551171681532757,-1.1119698840649956,-0.7191346294217684,0.10706710044266074,0.09286022937954004,-0.13134757959986776,-1.4350236721544072,-0.5153418032640427,-0.7262604633151821,-1.0649640285870963,0.5218436928246483
218,Bulgaria,2013,-0.8192981917786294,-1.6512258619945832,-0.9477617344473668,1.2917183407142867,-1.1962853621255405,-1.220730779879362,-2.204556472723786,1.4862860120502701,-0.39611172996534105,1.1208280449953207,-0.6672024029674524,0.37947706847167456,-1.760153514925697,-0.7262604633151821,0.1323139811478164,1.4415198733375663
98,Luxembourg,2008,-0.055566948099762814,-0.30428293323113836,1.7236154030989315,-0.8567248953813438,3.4954408344285977,-1.2680899174110265,1.073203293252585,0.40311739320071177,-0.0310604216301244,-0.9655658918841155,-0.3749179538578604,0.13754363638819786,1.1444071456181633,0.9402304108296897,-0.9344705125396943,-0.5255652905372871
247,Cyprus,2014,-0.6156365267975987,-1.2022448857401016,1.0557711187123577,0.4616379994955199,-0.28530034618896943,1.342234310069532,-0.019383295406205224,-0.0770501388666178,0.20572961620893543,0.7705575300447588,-0.6184883281158531,-0.8301900919457132,-0.9302790404845941,-1.559505900387618,0.8500283194085269,1.2882405099187462
312,Latvia,2016,-0.6410942349202275,-0.6463636770440767,-1.1982033410923327,0.5592945102271392,-0.8435470562915146,-0.5716320125336096,-1.1119698840649956,1.1624520950746289,0.09720084886603242,-0.04420214603589716,0.842933917432103,0.7423772165968918,0.7294699083976117,-0.7262604633151821,0.654288045337424,1.2116008282093371
91,Germany,2008,1.0136567930506506,0.8716196236258379,-0.11295637896414797,-0.710240129283915,0.45514336710088993,0.12761172396331702,1.073203293252585,-0.19988369358151628,1.2120872770249376,-1.0493262324157717,0.014794644954929931,0.13754363638819786,0.3145326711770603,-0.7262604633151821,-0.9475198641444345,0.11309872370779525
